record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
43480,86012077,Westland petrel,PROWES,Procellaria westlandica,6,-42.06666666666667
43481,86012077,Sooty shearwater,PUFGRI,Puffinus griseus,15,-42.06666666666667
43482,86012077,Grey-backed storm petrel,GARNER,Garrodia nereis,2,-42.06666666666667
43483,86012078,Westland petrel,PROWES,Procellaria westlandica,8,-42.03333333333333
43484,86012078,Sooty shearwater,PUFGRI,Puffinus griseus,20,-42.03333333333333
43485,86012079,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,1,-41.983333333333334
43486,86012079,Westland petrel,PROWES,Procellaria westlandica,6,-41.983333333333334
43487,86012079,Sooty shearwater,PUFGRI,Puffinus griseus,50,-41.983333333333334
43488,86012080,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-41.96666666666667
43489,86012080,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-41.96666666666667
43490,86012080,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,1,-41.96666666666667
43491,86012080,Shy / white-capped / Salvin's /  Chatham mollymawk,THACAUSALERE,Thalassarche cauta / salvini / eremita,9,-41.96666666666667
43492,86012080,Cape petrel,DAPCAP,Daption capense,2,-41.96666666666667
43493,86012080,Westland petrel,PROWES,Procellaria westlandica,50,-41.96666666666667
